                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7921,                0.62754,                0.95905,                 1.8667,              0.0033095,              0.0033095,              0.0033095
                      2,                0.89765,                0.89932,                0.99531,                 1.4328,              0.0065771,              0.0065771,              0.0065771
                      3,                0.40461,                0.97001,                0.99948,                 1.3257,              0.0097787,              0.0097787,              0.0097787
                      4,                0.26088,                 0.9627,                0.99948,                 1.3231,               0.009703,               0.009703,               0.009703
                      5,                0.20027,                 0.9927,                      1,                 1.2903,               0.009604,               0.009604,               0.009604
                      6,                0.16703,                0.99035,                      1,                 1.2882,               0.009505,               0.009505,               0.009505
                      7,                0.14619,                0.99296,                      1,                 1.2848,               0.009406,               0.009406,               0.009406
                      8,                0.13077,                0.99583,                      1,                 1.2819,               0.009307,               0.009307,               0.009307
                      9,                0.11538,                0.99531,                      1,                 1.2812,               0.009208,               0.009208,               0.009208
                     10,                0.11704,                0.99478,                      1,                 1.2816,               0.009109,               0.009109,               0.009109
                     11,                0.11467,                0.99504,                      1,                 1.2806,                0.00901,                0.00901,                0.00901
                     12,                0.12227,                0.99165,                0.99974,                 1.2854,               0.008911,               0.008911,               0.008911
                     13,                0.10591,                0.99765,                      1,                 1.2777,               0.008812,               0.008812,               0.008812
                     14,                0.10245,                0.99348,                      1,                 1.2837,               0.008713,               0.008713,               0.008713
                     15,                0.09857,                0.99661,                      1,                 1.2789,               0.008614,               0.008614,               0.008614
                     16,                 0.0877,                0.99817,                      1,                 1.2771,               0.008515,               0.008515,               0.008515
                     17,                0.08476,                0.99817,                      1,                 1.2776,               0.008416,               0.008416,               0.008416
                     18,                0.08156,                0.99791,                      1,                 1.2772,               0.008317,               0.008317,               0.008317
                     19,                0.08311,                 0.9987,                      1,                 1.2772,               0.008218,               0.008218,               0.008218
                     20,                0.08408,                0.99948,                      1,                 1.2761,               0.008119,               0.008119,               0.008119
                     21,                0.07776,                0.99844,                      1,                  1.277,                0.00802,                0.00802,                0.00802
                     22,                0.08027,                 0.9987,                      1,                 1.2761,               0.007921,               0.007921,               0.007921
                     23,                0.07772,                0.99739,                      1,                 1.2772,               0.007822,               0.007822,               0.007822
                     24,                0.07917,                0.99739,                      1,                 1.2772,               0.007723,               0.007723,               0.007723
                     25,                0.07587,                0.99791,                      1,                 1.2773,               0.007624,               0.007624,               0.007624
                     26,                0.06883,                 0.9987,                      1,                 1.2769,               0.007525,               0.007525,               0.007525
                     27,                 0.0756,                0.99922,                      1,                 1.2759,               0.007426,               0.007426,               0.007426
                     28,                0.06769,                0.99844,                      1,                 1.2767,               0.007327,               0.007327,               0.007327
                     29,                0.07096,                0.99817,                      1,                 1.2765,               0.007228,               0.007228,               0.007228
                     30,                0.06182,                0.99922,                      1,                 1.2757,               0.007129,               0.007129,               0.007129
                     31,                0.07453,                 0.9987,                      1,                 1.2763,                0.00703,                0.00703,                0.00703
                     32,                0.06644,                0.99844,                      1,                 1.2764,               0.006931,               0.006931,               0.006931
                     33,                0.06249,                0.99739,                      1,                 1.2775,               0.006832,               0.006832,               0.006832
                     34,                0.05889,                0.99791,                      1,                 1.2768,               0.006733,               0.006733,               0.006733
                     35,                 0.0645,                0.99896,                      1,                  1.276,               0.006634,               0.006634,               0.006634
                     36,                0.06941,                0.99922,                      1,                 1.2757,               0.006535,               0.006535,               0.006535
                     37,                0.06506,                 0.9987,                      1,                 1.2759,               0.006436,               0.006436,               0.006436
                     38,                0.05816,                0.99948,                      1,                 1.2756,               0.006337,               0.006337,               0.006337
                     39,                0.06269,                0.99948,                      1,                 1.2756,               0.006238,               0.006238,               0.006238
                     40,                0.05954,                0.99922,                      1,                 1.2756,               0.006139,               0.006139,               0.006139
                     41,                 0.0626,                0.99948,                      1,                 1.2752,                0.00604,                0.00604,                0.00604
                     42,                0.05344,                 0.9987,                      1,                 1.2761,               0.005941,               0.005941,               0.005941
                     43,                0.05647,                0.99922,                      1,                 1.2757,               0.005842,               0.005842,               0.005842
                     44,                0.05881,                0.99896,                      1,                 1.2757,               0.005743,               0.005743,               0.005743
                     45,                0.05064,                0.99948,                      1,                 1.2755,               0.005644,               0.005644,               0.005644
                     46,                0.05573,                0.99817,                      1,                 1.2761,               0.005545,               0.005545,               0.005545
                     47,                0.05127,                0.99948,                      1,                 1.2754,               0.005446,               0.005446,               0.005446
                     48,                0.06403,                0.99922,                      1,                 1.2755,               0.005347,               0.005347,               0.005347
                     49,                0.05313,                0.99948,                      1,                 1.2751,               0.005248,               0.005248,               0.005248
                     50,                 0.0605,                0.99896,                      1,                  1.276,               0.005149,               0.005149,               0.005149
                     51,                0.05201,                0.99948,                      1,                 1.2752,                0.00505,                0.00505,                0.00505
                     52,                 0.0514,                0.99948,                      1,                 1.2754,               0.004951,               0.004951,               0.004951
                     53,                0.05235,                0.99948,                      1,                 1.2753,               0.004852,               0.004852,               0.004852
                     54,                0.04965,                0.99948,                      1,                  1.275,               0.004753,               0.004753,               0.004753
                     55,                0.04542,                      1,                      1,                 1.2748,               0.004654,               0.004654,               0.004654
                     56,                 0.0513,                0.99922,                      1,                 1.2754,               0.004555,               0.004555,               0.004555
                     57,                0.05007,                0.99974,                      1,                 1.2751,               0.004456,               0.004456,               0.004456
                     58,                0.05371,                0.99948,                      1,                 1.2754,               0.004357,               0.004357,               0.004357
                     59,                0.04713,                0.99948,                      1,                  1.275,               0.004258,               0.004258,               0.004258
                     60,                0.05444,                0.99948,                      1,                  1.275,               0.004159,               0.004159,               0.004159
                     61,                0.04467,                0.99922,                      1,                  1.275,                0.00406,                0.00406,                0.00406
                     62,                0.04127,                0.99948,                      1,                 1.2748,               0.003961,               0.003961,               0.003961
                     63,                0.04484,                0.99974,                      1,                 1.2747,               0.003862,               0.003862,               0.003862
                     64,                 0.0447,                      1,                      1,                 1.2748,               0.003763,               0.003763,               0.003763
                     65,                0.03921,                0.99974,                      1,                 1.2748,               0.003664,               0.003664,               0.003664
                     66,                0.04565,                0.99974,                      1,                 1.2746,               0.003565,               0.003565,               0.003565
                     67,                 0.0418,                0.99974,                      1,                 1.2748,               0.003466,               0.003466,               0.003466
                     68,                0.03949,                0.99974,                      1,                 1.2749,               0.003367,               0.003367,               0.003367
                     69,                0.04232,                0.99948,                      1,                  1.275,               0.003268,               0.003268,               0.003268
                     70,                0.03929,                0.99948,                      1,                 1.2751,               0.003169,               0.003169,               0.003169
                     71,                0.03755,                0.99922,                      1,                 1.2753,                0.00307,                0.00307,                0.00307
                     72,                0.04039,                0.99922,                      1,                 1.2752,               0.002971,               0.002971,               0.002971
                     73,                0.04356,                0.99922,                      1,                 1.2752,               0.002872,               0.002872,               0.002872
                     74,                0.03757,                0.99922,                      1,                 1.2751,               0.002773,               0.002773,               0.002773
                     75,                0.04103,                0.99922,                      1,                 1.2751,               0.002674,               0.002674,               0.002674
                     76,                0.04286,                0.99922,                      1,                 1.2751,               0.002575,               0.002575,               0.002575
                     77,                0.04167,                0.99922,                      1,                 1.2751,               0.002476,               0.002476,               0.002476
                     78,                0.04226,                0.99948,                      1,                 1.2752,               0.002377,               0.002377,               0.002377
                     79,                0.03713,                0.99922,                      1,                 1.2751,               0.002278,               0.002278,               0.002278
                     80,                0.03869,                0.99948,                      1,                  1.275,               0.002179,               0.002179,               0.002179
                     81,                0.04073,                0.99948,                      1,                  1.275,                0.00208,                0.00208,                0.00208
                     82,                0.04027,                0.99948,                      1,                  1.275,               0.001981,               0.001981,               0.001981
                     83,                0.03333,                0.99974,                      1,                  1.275,               0.001882,               0.001882,               0.001882
                     84,                0.03843,                0.99974,                      1,                  1.275,               0.001783,               0.001783,               0.001783
                     85,                 0.0354,                0.99922,                      1,                  1.275,               0.001684,               0.001684,               0.001684
                     86,                0.03454,                0.99922,                      1,                 1.2751,               0.001585,               0.001585,               0.001585
                     87,                0.03586,                0.99948,                      1,                 1.2751,               0.001486,               0.001486,               0.001486
                     88,                0.03446,                0.99948,                      1,                  1.275,               0.001387,               0.001387,               0.001387
                     89,                0.03837,                0.99948,                      1,                  1.275,               0.001288,               0.001288,               0.001288
                     90,                0.03456,                0.99948,                      1,                 1.2749,               0.001189,               0.001189,               0.001189
                     91,                0.03135,                0.99974,                      1,                 1.2749,                0.00109,                0.00109,                0.00109
                     92,                0.03322,                0.99974,                      1,                 1.2749,               0.000991,               0.000991,               0.000991
                     93,                0.03283,                0.99974,                      1,                 1.2749,               0.000892,               0.000892,               0.000892
                     94,                 0.0348,                0.99948,                      1,                 1.2749,               0.000793,               0.000793,               0.000793
                     95,                0.03532,                0.99948,                      1,                 1.2749,               0.000694,               0.000694,               0.000694
                     96,                0.03002,                0.99948,                      1,                 1.2749,               0.000595,               0.000595,               0.000595
                     97,                0.03383,                0.99948,                      1,                 1.2749,               0.000496,               0.000496,               0.000496
                     98,                0.02948,                0.99948,                      1,                 1.2749,               0.000397,               0.000397,               0.000397
                     99,                 0.0319,                0.99948,                      1,                 1.2749,               0.000298,               0.000298,               0.000298
                    100,                0.02801,                0.99948,                      1,                 1.2749,               0.000199,               0.000199,               0.000199
