                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0291,                 5.2237,                0.87525,                0.01151,                0.00965,                0.00811,                0.00573,                0.89413,                 4.9018,                0.81557,             7.1886e-05,             7.1886e-05,             7.1886e-05
                      2,                0.95091,                 3.7028,                0.83121,                0.02819,                0.34529,                0.03855,                0.03034,                0.82825,                 3.8805,                0.81243,             0.00014228,             0.00014228,             0.00014228
                      3,                0.86152,                 2.8677,                0.83409,                 0.0273,                  0.861,                0.08106,                0.06479,                0.77714,                 3.0964,                0.81257,               0.000209,               0.000209,               0.000209
                      4,                 0.8101,                 2.4049,                0.82479,                0.32577,                0.11875,                0.14547,                0.11916,                0.73019,                 2.2833,                0.81098,             0.00020552,             0.00020552,             0.00020552
                      5,                0.77957,                 2.1198,                0.82623,                0.22785,                0.27159,                0.19873,                 0.1662,                0.70693,                 1.8671,                0.81019,             0.00020002,             0.00020002,             0.00020002
                      6,                0.74247,                 1.9237,                0.82223,                0.21296,                0.42191,                0.23283,                 0.1972,                0.67698,                 1.5877,                0.80918,             0.00019453,             0.00019453,             0.00019453
                      7,                0.73282,                 1.8293,                0.82454,                0.31965,                0.39986,                0.26982,                0.23018,                0.66332,                 1.5192,                0.80486,             0.00018903,             0.00018903,             0.00018903
                      8,                0.70901,                 1.7315,                0.81929,                0.24735,                0.38297,                0.27956,                0.23942,                0.65486,                 1.5507,                 0.8061,             0.00018354,             0.00018354,             0.00018354
                      9,                0.67787,                 1.6464,                0.81889,                0.25405,                0.41817,                0.31799,                0.27334,                0.63074,                 1.4649,                0.80364,             0.00017804,             0.00017804,             0.00017804
                     10,                0.67506,                  1.585,                0.81572,                0.27626,                0.47553,                0.34686,                0.30065,                0.63706,                 1.3759,                 0.8047,             0.00017255,             0.00017255,             0.00017255
                     11,                0.67144,                 1.5415,                0.81523,                0.30746,                0.47998,                0.37457,                0.32725,                 0.6187,                 1.3386,                0.80252,             0.00016705,             0.00016705,             0.00016705
                     12,                0.65959,                 1.4733,                 0.8128,                0.53988,                0.41773,                0.40556,                0.35434,                 0.6145,                  1.308,                  0.803,             0.00016156,             0.00016156,             0.00016156
                     13,                0.63302,                 1.4134,                0.81389,                0.35851,                0.51851,                0.43286,                0.38048,                0.60337,                 1.2354,                0.80036,             0.00015607,             0.00015607,             0.00015607
                     14,                0.62429,                  1.373,                0.81093,                0.38288,                0.55028,                0.44745,                0.39496,                0.59117,                 1.2158,                0.79948,             0.00015057,             0.00015057,             0.00015057
                     15,                0.62741,                 1.3906,                0.81172,                 0.3883,                0.50828,                0.46677,                0.41199,                 0.5904,                 1.2166,                0.80026,             0.00014508,             0.00014508,             0.00014508
                     16,                0.61202,                 1.3355,                0.80858,                0.42123,                 0.5535,                 0.5004,                0.44274,                0.58452,                 1.1439,                0.79946,             0.00013958,             0.00013958,             0.00013958
                     17,                0.61347,                 1.2966,                0.80862,                0.42284,                0.55831,                0.51302,                0.45366,                0.58443,                  1.129,                0.79898,             0.00013409,             0.00013409,             0.00013409
                     18,                0.61168,                 1.2687,                0.80845,                0.42274,                0.58452,                0.53116,                0.47153,                0.58042,                  1.075,                0.79832,             0.00012859,             0.00012859,             0.00012859
                     19,                0.60821,                 1.2176,                0.80872,                0.44312,                0.58227,                0.53661,                 0.4764,                0.58545,                 1.0931,                0.79918,              0.0001231,              0.0001231,              0.0001231
                     20,                0.60522,                  1.195,                0.81027,                0.50201,                0.56577,                0.56694,                0.50578,                0.57433,                  1.031,                0.79772,              0.0001176,              0.0001176,              0.0001176
                     21,                0.59402,                 1.1906,                0.80839,                0.51233,                0.59476,                0.57142,                0.50861,                 0.5718,                 1.0395,                0.79734,             0.00011211,             0.00011211,             0.00011211
                     22,                0.58135,                 1.1405,                0.80833,                0.47884,                0.63404,                0.58537,                0.52225,                0.57779,                 1.0194,                0.79917,             0.00010662,             0.00010662,             0.00010662
                     23,                0.57978,                 1.1268,                0.80511,                0.49785,                0.62806,                0.59901,                0.53118,                0.59541,                0.99435,                0.79909,             0.00010112,             0.00010112,             0.00010112
                     24,                0.59237,                 1.1245,                0.80624,                0.53974,                0.62163,                0.60833,                0.54253,                0.57751,                0.97835,                0.79812,             9.5627e-05,             9.5627e-05,             9.5627e-05
                     25,                0.56883,                 1.0946,                0.80512,                0.53532,                0.61844,                0.62259,                0.55723,                0.56396,                0.95153,                0.79629,             9.0132e-05,             9.0132e-05,             9.0132e-05
                     26,                0.56313,                 1.0632,                0.80324,                0.54452,                0.61802,                   0.62,                0.55568,                0.56742,                0.94696,                 0.7966,             8.4637e-05,             8.4637e-05,             8.4637e-05
                     27,                0.56677,                 1.0492,                 0.8049,                0.57972,                0.59388,                0.62549,                0.55876,                0.56363,                0.93995,                0.79649,             7.9143e-05,             7.9143e-05,             7.9143e-05
                     28,                0.57436,                 1.0376,                 0.8049,                0.56464,                0.62925,                0.63247,                0.56459,                 0.5653,                0.94166,                0.79697,             7.3649e-05,             7.3649e-05,             7.3649e-05
                     29,                0.56217,                 1.0173,                0.80372,                 0.5608,                0.64324,                0.64284,                0.57241,                0.57268,                0.92555,                0.79728,             6.8154e-05,             6.8154e-05,             6.8154e-05
                     30,                0.56925,                 1.0226,                0.80416,                0.57262,                0.65731,                0.64688,                0.57941,                0.56045,                0.91067,                0.79599,              6.266e-05,              6.266e-05,              6.266e-05
                     31,                0.55293,                 1.1038,                0.80075,                0.57344,                 0.6529,                0.64532,                0.57629,                0.57811,                0.94918,                0.79681,             5.7165e-05,             5.7165e-05,             5.7165e-05
                     32,                0.52961,                 1.0537,                0.80078,                0.57564,                 0.6474,                0.64274,                0.57413,                0.56358,                0.90802,                0.79576,              5.167e-05,              5.167e-05,              5.167e-05
                     33,                0.52073,                  1.021,                 0.7986,                0.61139,                0.63487,                 0.6571,                 0.5857,                0.56933,                0.89344,                0.79648,             4.6176e-05,             4.6176e-05,             4.6176e-05
                     34,                0.51536,                0.99228,                0.79509,                0.58456,                0.66793,                0.66298,                0.59201,                0.56578,                0.89238,                0.79622,             4.0682e-05,             4.0682e-05,             4.0682e-05
                     35,                0.51232,                0.98864,                0.79858,                 0.6158,                0.64327,                0.65955,                0.58753,                0.56316,                0.90591,                0.79574,             3.5187e-05,             3.5187e-05,             3.5187e-05
                     36,                0.50768,                0.98008,                0.79425,                0.61922,                 0.6413,                0.66929,                0.59757,                0.56909,                0.87912,                0.79644,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     37,                0.51419,                0.97134,                0.79694,                0.58775,                0.67486,                0.66635,                 0.5952,                0.56338,                0.88301,                0.79575,             2.4198e-05,             2.4198e-05,             2.4198e-05
                     38,                0.50924,                0.97054,                0.80014,                0.61133,                  0.664,                0.67104,                0.59948,                0.55817,                0.87006,                0.79576,             1.8703e-05,             1.8703e-05,             1.8703e-05
                     39,                0.49926,                0.94425,                0.79635,                0.60638,                0.67838,                0.67216,                0.60041,                0.56132,                0.87057,                0.79586,             1.3209e-05,             1.3209e-05,             1.3209e-05
                     40,                0.49661,                0.93316,                 0.7988,                0.59856,                0.67786,                0.67237,                0.60104,                0.55867,                0.86178,                0.79592,             7.7145e-06,             7.7145e-06,             7.7145e-06
