                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95981,                 4.7632,                0.85306,                0.02274,                0.24004,                0.02833,                0.02213,                0.79086,                 4.0554,                0.80818,             7.2912e-05,             7.2912e-05,             7.2912e-05
                      2,                0.82668,                 2.7622,                0.82293,                0.29992,                0.07886,                0.10594,                0.08655,                0.68499,                 2.3328,                0.81105,             0.00014509,             0.00014509,             0.00014509
                      3,                0.76782,                 2.1132,                0.82074,                0.21393,                0.35244,                0.22328,                0.18977,                 0.6392,                 1.6503,                0.80773,             0.00021544,             0.00021544,             0.00021544
                      4,                0.71228,                 1.7841,                0.81715,                0.21671,                 0.4709,                0.28427,                0.24439,                0.61103,                 1.4597,                0.80715,             0.00021376,             0.00021376,             0.00021376
                      5,                0.68673,                 1.5955,                 0.8165,                0.33692,                 0.4739,                0.35995,                0.31429,                 0.5803,                 1.3142,                0.80467,             0.00021101,             0.00021101,             0.00021101
                      6,                0.66079,                 1.4902,                0.81342,                0.38803,                0.51966,                0.42688,                0.37594,                0.56364,                 1.2278,                0.80123,             0.00020826,             0.00020826,             0.00020826
                      7,                0.63573,                  1.385,                0.81171,                 0.4133,                0.58437,                0.50142,                0.44088,                0.56032,                 1.1596,                0.80103,             0.00020552,             0.00020552,             0.00020552
                      8,                0.62448,                 1.2945,                0.81015,                0.48084,                0.57571,                0.56275,                 0.4944,                0.56264,                 1.0574,                0.80223,             0.00020277,             0.00020277,             0.00020277
                      9,                0.60631,                 1.1964,                  0.808,                 0.5374,                0.64748,                0.61989,                0.55225,                0.53657,                0.97221,                0.79837,             0.00020002,             0.00020002,             0.00020002
                     10,                0.59243,                 1.1265,                0.80617,                 0.5586,                0.65744,                0.63258,                0.56691,                0.52619,                0.97087,                0.79777,             0.00019727,             0.00019727,             0.00019727
                     11,                0.58488,                 1.0743,                0.80639,                0.61307,                 0.6958,                0.68943,                 0.6192,                0.52038,                0.87739,                0.79735,             0.00019453,             0.00019453,             0.00019453
                     12,                0.58163,                 1.0104,                0.80466,                 0.6523,                0.72867,                0.72738,                0.65186,                0.51924,                0.81294,                0.79734,             0.00019178,             0.00019178,             0.00019178
                     13,                0.57658,                0.98152,                0.80577,                0.68357,                0.73762,                0.74827,                 0.6716,                0.52096,                0.78375,                0.79648,             0.00018903,             0.00018903,             0.00018903
                     14,                0.56325,                0.93742,                0.80243,                0.69555,                0.74423,                0.77235,                0.69534,                0.50917,                0.74938,                0.79518,             0.00018629,             0.00018629,             0.00018629
                     15,                0.57117,                0.90865,                0.80273,                0.75225,                 0.7402,                0.78651,                0.70493,                0.51712,                0.73529,                0.79525,             0.00018354,             0.00018354,             0.00018354
                     16,                0.56046,                0.88386,                0.80194,                0.77056,                0.76456,                0.81011,                0.73212,                0.49719,                0.68938,                0.79422,             0.00018079,             0.00018079,             0.00018079
