                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98761,                 2.9514,                 0.9402,                0.36707,                0.46504,                 0.3982,                0.33252,                0.63545,                 1.3931,                0.83928,              0.0033295,              0.0033295,              0.0033295
                      2,                 0.7561,                 1.4895,                0.86982,                0.74732,                0.70952,                0.76421,                0.63476,                0.65849,                0.81539,                0.84866,              0.0066464,              0.0066464,              0.0066464
                      3,                0.74834,                  1.138,                 0.8729,                0.84921,                0.75712,                0.87258,                0.72973,                0.63571,                0.74108,                  0.848,              0.0099467,              0.0099467,              0.0099467
                      4,                0.71245,                0.94699,                0.86602,                  0.872,                0.83773,                0.91673,                0.78819,                0.56602,                0.58123,                0.82995,              0.0099258,              0.0099258,              0.0099258
                      5,                0.66665,                0.77704,                 0.8536,                0.92065,                0.89316,                0.95731,                0.79901,                0.64891,                0.49505,                0.84575,               0.009901,               0.009901,               0.009901
                      6,                0.63762,                0.67567,                0.84802,                 0.9525,                0.92525,                0.97572,                0.82954,                0.60198,                0.43794,                0.83653,              0.0098763,              0.0098763,              0.0098763
                      7,                0.61238,                0.61358,                0.84215,                0.94812,                0.90977,                0.97423,                0.83899,                0.57943,                0.42129,                 0.8287,              0.0098515,              0.0098515,              0.0098515
                      8,                0.59883,                0.56771,                0.83892,                0.97002,                 0.9438,                 0.9849,                0.86009,                0.54329,                  0.375,                  0.821,              0.0098268,              0.0098268,              0.0098268
                      9,                 0.5839,                0.53841,                0.83465,                0.96862,                0.94205,                0.98582,                0.86404,                0.53613,                0.36331,                0.81811,               0.009802,               0.009802,               0.009802
                     10,                0.57711,                0.51427,                0.83238,                0.97467,                 0.9523,                0.98688,                0.88783,                 0.4775,                0.33279,                0.80591,              0.0097773,              0.0097773,              0.0097773
                     11,                0.56347,                0.49758,                0.82946,                0.97533,                0.95424,                 0.9866,                0.87032,                0.51732,                0.33114,                0.81438,              0.0097525,              0.0097525,              0.0097525
                     12,                0.55687,                0.48427,                0.82723,                0.97834,                0.96199,                0.98937,                0.89763,                0.45797,                0.29969,                0.80143,              0.0097278,              0.0097278,              0.0097278
                     13,                0.54717,                0.46611,                0.82501,                0.97773,                0.95682,                0.98703,                0.86681,                0.53533,                 0.3183,                0.81438,               0.009703,               0.009703,               0.009703
                     14,                0.54094,                0.45611,                 0.8239,                0.98327,                0.96558,                0.99071,                0.87328,                0.52421,                0.29928,                0.81195,              0.0096783,              0.0096783,              0.0096783
                     15,                0.53965,                0.44963,                0.82426,                0.98506,                 0.9668,                0.99089,                0.89834,                0.45373,                0.28359,                0.79871,              0.0096535,              0.0096535,              0.0096535
                     16,                0.53155,                0.43963,                0.82237,                0.98254,                0.97549,                0.99182,                0.87925,                0.51097,                0.28535,                0.81007,              0.0096288,              0.0096288,              0.0096288
                     17,                0.52722,                0.43389,                0.82119,                0.97774,                0.97145,                0.99075,                0.89714,                0.45997,                0.27388,                0.80085,               0.009604,               0.009604,               0.009604
                     18,                0.52464,                0.42577,                0.81989,                0.98642,                0.97249,                 0.9925,                0.89921,                0.46491,                0.26835,                0.80084,              0.0095793,              0.0095793,              0.0095793
                     19,                0.51957,                0.41869,                 0.8199,                0.98753,                0.97159,                0.99193,                0.89693,                0.45643,                0.26259,                0.79968,              0.0095545,              0.0095545,              0.0095545
                     20,                0.51666,                0.41516,                   0.82,                0.99022,                0.97452,                0.99279,                0.90315,                 0.4566,                0.25512,                0.79928,              0.0095298,              0.0095298,              0.0095298
                     21,                0.51358,                0.40901,                0.81805,                0.98896,                0.98129,                0.99353,                0.90543,                0.44685,                 0.2506,                 0.7977,               0.009505,               0.009505,               0.009505
                     22,                0.50837,                0.40579,                0.81634,                0.98907,                0.98017,                0.99338,                0.89415,                0.48035,                  0.255,                0.80221,              0.0094803,              0.0094803,              0.0094803
                     23,                0.50717,                0.40401,                0.81625,                0.99226,                0.98059,                 0.9937,                0.89926,                0.46484,                0.24941,                0.79958,              0.0094555,              0.0094555,              0.0094555
                     24,                0.50541,                0.39866,                0.81576,                0.99038,                0.98118,                0.99391,                0.91075,                0.43537,                0.23722,                0.79398,              0.0094307,              0.0094307,              0.0094307
                     25,                0.50099,                0.39166,                0.81459,                0.99323,                0.98265,                 0.9939,                0.90463,                0.45266,                0.23745,                0.79666,               0.009406,               0.009406,               0.009406
                     26,                 0.4989,                0.39114,                  0.815,                0.99027,                0.98349,                0.99385,                0.91081,                0.43082,                  0.232,                0.79296,              0.0093813,              0.0093813,              0.0093813
                     27,                0.49825,                0.38761,                0.81406,                0.98955,                0.98337,                0.99398,                0.90292,                 0.4657,                0.23873,                0.79783,              0.0093565,              0.0093565,              0.0093565
                     28,                 0.4947,                0.38584,                0.81337,                0.99344,                0.98177,                 0.9941,                0.90733,                0.44709,                0.23285,                0.79484,              0.0093317,              0.0093317,              0.0093317
                     29,                0.49189,                 0.3803,                 0.8119,                0.99316,                0.98375,                 0.9942,                0.91412,                0.43229,                0.22342,                 0.7926,               0.009307,               0.009307,               0.009307
                     30,                0.48949,                0.37723,                0.81152,                 0.9908,                0.98723,                0.99441,                0.91542,                0.42756,                0.22394,                0.79125,              0.0092823,              0.0092823,              0.0092823
                     31,                0.48661,                0.37597,                0.81178,                0.99435,                0.98494,                0.99434,                0.90695,                0.45377,                0.22726,                0.79547,              0.0092575,              0.0092575,              0.0092575
                     32,                0.48683,                0.37525,                0.81265,                0.99451,                0.98616,                0.99453,                0.91369,                0.43466,                0.22039,                0.79305,              0.0092327,              0.0092327,              0.0092327
                     33,                0.48289,                0.36869,                0.80995,                0.99364,                0.98793,                0.99463,                0.91853,                0.42181,                0.21669,                0.79068,               0.009208,               0.009208,               0.009208
                     34,                0.48177,                0.36612,                0.80982,                0.99515,                0.98716,                0.99466,                0.91969,                0.41837,                0.21442,                0.78991,              0.0091833,              0.0091833,              0.0091833
                     35,                0.47974,                0.36317,                0.80887,                0.99587,                0.98679,                0.99466,                0.91886,                0.42294,                0.21281,                0.79009,              0.0091585,              0.0091585,              0.0091585
                     36,                0.47823,                0.36471,                 0.8096,                0.99435,                0.98808,                0.99444,                 0.9207,                0.41817,                0.21235,                0.78985,              0.0091337,              0.0091337,              0.0091337
                     37,                0.47822,                0.36054,                0.80934,                0.99488,                0.98857,                0.99456,                0.92036,                0.42048,                0.21139,                0.78997,               0.009109,               0.009109,               0.009109
                     38,                0.47652,                0.36146,                0.80891,                0.99604,                0.98815,                 0.9947,                0.92102,                0.41805,                0.21014,                0.78913,              0.0090843,              0.0090843,              0.0090843
                     39,                0.47482,                0.35981,                0.80965,                0.99663,                0.98859,                0.99466,                0.92407,                0.41005,                0.20696,                0.78832,              0.0090595,              0.0090595,              0.0090595
                     40,                0.47218,                0.35733,                0.80849,                0.99506,                0.98999,                0.99472,                0.92291,                0.41564,                0.20786,                0.78899,              0.0090347,              0.0090347,              0.0090347
                     41,                0.47069,                0.35519,                0.80812,                0.99449,                0.98986,                0.99465,                0.92385,                0.41488,                0.20688,                0.78872,                0.00901,                0.00901,                0.00901
                     42,                0.47068,                0.35378,                0.80726,                 0.9958,                0.98952,                0.99473,                 0.9233,                0.41443,                0.20525,                0.78834,              0.0089853,              0.0089853,              0.0089853
                     43,                0.46997,                 0.3521,                 0.8073,                0.99672,                0.98815,                0.99469,                0.92256,                 0.4147,                0.20423,                 0.7882,              0.0089605,              0.0089605,              0.0089605
                     44,                0.46719,                0.34985,                 0.8074,                0.99729,                0.98787,                0.99474,                0.92339,                 0.4131,                0.20293,                0.78817,              0.0089358,              0.0089358,              0.0089358
                     45,                0.46799,                0.35102,                0.80688,                0.99605,                0.98977,                0.99479,                 0.9252,                0.40763,                0.20132,                0.78716,               0.008911,               0.008911,               0.008911
                     46,                0.46447,                0.34707,                0.80635,                 0.9958,                0.98905,                0.99475,                0.92669,                0.40377,                0.19985,                0.78658,              0.0088863,              0.0088863,              0.0088863
                     47,                0.46345,                0.34499,                  0.807,                0.99706,                0.98801,                0.99468,                0.92656,                0.40676,                0.19883,                0.78694,              0.0088615,              0.0088615,              0.0088615
                     48,                0.46264,                0.34303,                0.80663,                0.99659,                0.98974,                 0.9948,                0.92774,                0.40394,                0.19773,                0.78655,              0.0088368,              0.0088368,              0.0088368
                     49,                0.46128,                 0.3418,                0.80597,                0.99628,                0.99021,                0.99477,                0.92708,                0.40658,                0.19773,                0.78677,               0.008812,               0.008812,               0.008812
                     50,                0.46008,                0.34284,                0.80648,                0.99667,                0.99064,                0.99473,                0.92925,                0.40041,                0.19573,                0.78591,              0.0087872,              0.0087872,              0.0087872
                     51,                0.45839,                0.33973,                0.80526,                0.99666,                0.99087,                0.99481,                0.92914,                0.39977,                0.19498,                0.78577,              0.0087625,              0.0087625,              0.0087625
                     52,                 0.4579,                0.34043,                0.80608,                 0.9969,                0.99106,                0.99473,                0.92895,                0.39975,                0.19427,                0.78582,              0.0087378,              0.0087378,              0.0087378
                     53,                0.45573,                0.33665,                0.80511,                0.99676,                0.99097,                0.99469,                0.93011,                0.39832,                0.19336,                0.78544,               0.008713,               0.008713,               0.008713
                     54,                0.45543,                0.33729,                0.80502,                0.99689,                0.99112,                0.99467,                0.93042,                0.39765,                0.19292,                0.78527,              0.0086882,              0.0086882,              0.0086882
                     55,                0.45452,                0.33699,                0.80456,                0.99669,                0.99142,                0.99472,                0.93102,                0.39778,                0.19275,                0.78522,              0.0086635,              0.0086635,              0.0086635
                     56,                0.45245,                0.33336,                0.80496,                0.99655,                0.99163,                0.99476,                 0.9315,                0.39607,                0.19175,                  0.785,              0.0086388,              0.0086388,              0.0086388
                     57,                0.45207,                0.33443,                0.80403,                0.99726,                0.99111,                0.99476,                 0.9331,                0.39278,                0.19081,                 0.7846,               0.008614,               0.008614,               0.008614
                     58,                0.45241,                0.33351,                0.80509,                0.99791,                0.99055,                0.99485,                0.93252,                 0.3927,                0.19035,                0.78455,              0.0085893,              0.0085893,              0.0085893
                     59,                0.45172,                0.33277,                0.80497,                0.99781,                0.99056,                0.99488,                0.93324,                 0.3896,                0.18938,                0.78412,              0.0085645,              0.0085645,              0.0085645
                     60,                0.44985,                0.33213,                0.80456,                0.99647,                 0.9916,                0.99484,                0.93271,                   0.39,                0.18947,                0.78408,              0.0085398,              0.0085398,              0.0085398
                     61,                0.45044,                0.33265,                0.80375,                0.99723,                  0.991,                0.99483,                0.93301,                0.38845,                0.18897,                0.78381,               0.008515,               0.008515,               0.008515
                     62,                0.44807,                0.32968,                0.80359,                0.99737,                0.99111,                0.99481,                0.93321,                0.38853,                0.18873,                0.78376,              0.0084903,              0.0084903,              0.0084903
                     63,                0.44906,                0.32674,                0.80353,                0.99774,                0.99109,                0.99479,                0.93302,                0.38906,                0.18827,                0.78383,              0.0084655,              0.0084655,              0.0084655
                     64,                0.44524,                0.32544,                0.80249,                0.99757,                0.99115,                0.99482,                0.93325,                0.38873,                0.18796,                 0.7837,              0.0084408,              0.0084408,              0.0084408
                     65,                0.44611,                0.32854,                0.80301,                0.99755,                0.99127,                0.99486,                0.93444,                0.38768,                0.18743,                0.78357,               0.008416,               0.008416,               0.008416
                     66,                0.44347,                0.32495,                0.80334,                0.99764,                0.99147,                0.99488,                 0.9346,                0.38733,                0.18705,                0.78357,              0.0083913,              0.0083913,              0.0083913
                     67,                0.44337,                0.32376,                0.80189,                0.99762,                0.99134,                0.99489,                0.93505,                0.38682,                0.18678,                0.78341,              0.0083665,              0.0083665,              0.0083665
                     68,                0.44256,                0.32628,                0.80248,                0.99764,                0.99156,                 0.9949,                0.93506,                0.38655,                0.18647,                0.78335,              0.0083418,              0.0083418,              0.0083418
                     69,                0.44286,                0.32268,                0.80331,                0.99772,                0.99174,                 0.9949,                0.93556,                0.38633,                0.18617,                0.78332,               0.008317,               0.008317,               0.008317
                     70,                0.44186,                0.32105,                0.80294,                0.99767,                0.99181,                 0.9949,                0.93557,                0.38544,                0.18553,                0.78321,              0.0082922,              0.0082922,              0.0082922
                     71,                0.44028,                0.32149,                0.80263,                0.99778,                0.99173,                0.99491,                0.93572,                0.38533,                0.18544,                0.78323,              0.0082675,              0.0082675,              0.0082675
                     72,                0.44049,                0.32232,                0.80297,                0.99784,                0.99188,                0.99491,                0.93615,                0.38412,                0.18471,                0.78308,              0.0082428,              0.0082428,              0.0082428
                     73,                0.43985,                0.31964,                0.80242,                0.99786,                0.99179,                0.99491,                0.93666,                0.38354,                0.18453,                0.78298,               0.008218,               0.008218,               0.008218
                     74,                0.44015,                0.32021,                0.80268,                0.99804,                0.99208,                0.99492,                0.93682,                0.38348,                0.18436,                0.78299,              0.0081932,              0.0081932,              0.0081932
                     75,                0.43737,                0.32042,                0.80211,                0.99802,                0.99195,                0.99492,                0.93663,                0.38277,                0.18377,                 0.7829,              0.0081685,              0.0081685,              0.0081685
                     76,                0.43622,                 0.3181,                0.80136,                0.99792,                0.99201,                0.99493,                 0.9368,                0.38253,                0.18361,                0.78287,              0.0081437,              0.0081437,              0.0081437
                     77,                0.43585,                0.31815,                0.80012,                0.99781,                0.99221,                0.99493,                0.93667,                 0.3828,                 0.1834,                0.78289,               0.008119,               0.008119,               0.008119
                     78,                0.43516,                0.31611,                0.80085,                0.99784,                0.99238,                0.99493,                 0.9367,                0.38235,                0.18323,                0.78282,              0.0080942,              0.0080942,              0.0080942
                     79,                0.43385,                0.31536,                0.80056,                0.99787,                0.99238,                0.99493,                0.93683,                 0.3828,                0.18331,                0.78285,              0.0080695,              0.0080695,              0.0080695
                     80,                0.43108,                0.31422,                0.80089,                0.99789,                0.99233,                0.99493,                0.93663,                0.38233,                0.18334,                0.78279,              0.0080447,              0.0080447,              0.0080447
                     81,                0.43338,                0.31381,                 0.8011,                0.99772,                0.99248,                0.99493,                0.93684,                0.38182,                0.18342,                0.78267,                0.00802,                0.00802,                0.00802
