                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84135,                 3.0881,                 0.8452,                 0.3626,                0.48558,                0.40684,                0.34941,                0.64999,                 1.6847,                0.83351,              0.0033266,              0.0033266,              0.0033266
                      2,                0.74919,                 1.4445,                0.83573,                0.77079,                0.76027,                0.80268,                 0.6992,                0.61501,                0.87649,                0.84018,               0.006627,               0.006627,               0.006627
                      3,                0.74716,                  1.028,                0.83773,                0.86788,                0.82903,                0.88508,                0.78276,                0.60771,                0.72553,                 0.8543,              0.0098943,              0.0098943,              0.0098943
                      4,                0.68983,                0.83603,                0.82993,                0.89471,                0.80538,                0.87779,                0.78478,                 0.6102,                0.80069,                0.86866,              0.0098515,              0.0098515,              0.0098515
                      5,                0.62676,                0.71391,                0.82124,                0.93167,                0.86531,                0.90747,                0.82501,                0.55746,                0.61728,                0.86292,               0.009802,               0.009802,               0.009802
                      6,                 0.5887,                0.63462,                0.81511,                0.92242,                0.86656,                0.91141,                0.83483,                0.53334,                0.55542,                 0.8516,              0.0097525,              0.0097525,              0.0097525
                      7,                 0.5647,                0.58255,                 0.8117,                0.93355,                0.87467,                0.91338,                0.84175,                0.52162,                0.56188,                0.84857,               0.009703,               0.009703,               0.009703
                      8,                0.54404,                0.54069,                0.80828,                0.92997,                0.88915,                0.91706,                0.85209,                0.49405,                0.49782,                0.84504,              0.0096535,              0.0096535,              0.0096535
                      9,                0.52608,                0.51091,                 0.8057,                0.93613,                0.89482,                0.91878,                0.85639,                0.48061,                0.48472,                0.84326,               0.009604,               0.009604,               0.009604
                     10,                0.51534,                0.49168,                0.80407,                0.92155,                0.88912,                0.91839,                 0.8571,                0.48756,                0.48956,                0.84595,              0.0095545,              0.0095545,              0.0095545
                     11,                0.50246,                0.47407,                0.80293,                0.93567,                0.88665,                0.91706,                0.86276,                  0.474,                0.49724,                0.84568,               0.009505,               0.009505,               0.009505
                     12,                0.49222,                0.45909,                0.80121,                0.92102,                0.89324,                0.91837,                0.86589,                0.46468,                0.47477,                0.84291,              0.0094555,              0.0094555,              0.0094555
