                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0869,                 3.3478,                 1.1248,                0.31687,                0.36547,                0.25951,                0.21017,                0.72826,                 1.7679,                0.96905,              0.0033265,              0.0033265,              0.0033265
                      2,                0.78673,                 1.7881,                0.97978,                0.56701,                0.56305,                 0.5921,                0.48697,                0.68423,                 1.1493,                0.94455,              0.0066268,              0.0066268,              0.0066268
                      3,                0.78277,                 1.3631,                0.97904,                0.72693,                0.65193,                0.72669,                0.58867,                0.72068,                 1.0804,                0.96146,              0.0098942,              0.0098942,              0.0098942
                      4,                0.75859,                 1.1856,                0.97324,                0.88326,                0.79805,                0.88507,                0.74928,                0.62366,                0.70339,                0.91888,              0.0098515,              0.0098515,              0.0098515
                      5,                0.71098,                 1.0269,                0.95121,                0.88535,                0.80212,                0.89398,                0.75689,                0.61708,                0.67118,                0.91439,               0.009802,               0.009802,               0.009802
                      6,                0.67624,                0.92713,                0.93939,                0.90448,                0.84512,                0.91559,                0.78008,                0.60072,                0.59126,                0.90634,              0.0097525,              0.0097525,              0.0097525
                      7,                0.66146,                0.84343,                0.93238,                 0.9157,                0.84234,                0.92349,                0.79622,                0.58433,                0.56711,                0.89893,               0.009703,               0.009703,               0.009703
                      8,                0.63971,                0.77769,                 0.9212,                 0.9525,                0.89103,                0.95789,                0.82029,                0.58781,                0.49584,                0.89821,              0.0096535,              0.0096535,              0.0096535
                      9,                 0.6307,                0.73048,                0.91843,                0.95269,                0.90056,                0.95564,                0.77471,                0.73312,                0.49968,                0.93388,               0.009604,               0.009604,               0.009604
                     10,                 0.6146,                 0.6925,                0.91174,                0.92215,                0.85639,                 0.9352,                0.78767,                0.63404,                0.52516,                0.90309,              0.0095545,              0.0095545,              0.0095545
                     11,                0.60214,                0.66616,                0.90899,                0.96359,                0.91617,                0.96523,                  0.855,                0.51125,                0.42914,                0.86837,               0.009505,               0.009505,               0.009505
                     12,                0.59515,                0.63932,                0.90568,                0.95786,                0.91697,                 0.9649,                 0.8329,                0.58519,                0.43195,                0.88649,              0.0094555,              0.0094555,              0.0094555
                     13,                0.58882,                0.61609,                0.90192,                0.97332,                0.92597,                0.96901,                0.86641,                0.49585,                0.39134,                0.86163,               0.009406,               0.009406,               0.009406
                     14,                 0.5793,                0.60785,                0.90181,                0.96885,                0.92589,                0.97022,                0.86738,                0.49447,                0.38719,                0.86167,              0.0093565,              0.0093565,              0.0093565
                     15,                0.57684,                0.59422,                0.89784,                0.96695,                0.92646,                0.96836,                0.85868,                0.52462,                0.38563,                0.87106,               0.009307,               0.009307,               0.009307
                     16,                 0.5669,                0.57606,                0.89451,                0.95773,                0.92545,                0.96563,                0.85418,                0.52975,                0.39512,                0.86909,              0.0092575,              0.0092575,              0.0092575
                     17,                0.56426,                0.56947,                0.89467,                0.96926,                0.93324,                0.96931,                0.84121,                0.57796,                0.38934,                0.88097,               0.009208,               0.009208,               0.009208
                     18,                0.55926,                0.55924,                0.89293,                0.97732,                0.93764,                0.97355,                0.87339,                0.49389,                0.35116,                0.85533,              0.0091585,              0.0091585,              0.0091585
                     19,                0.55407,                0.55398,                0.89199,                0.97572,                0.94352,                0.97613,                0.88062,                0.47621,                0.34843,                0.85258,               0.009109,               0.009109,               0.009109
                     20,                0.54883,                0.53805,                0.88871,                0.98242,                 0.9421,                0.97656,                0.88641,                0.46139,                0.33933,                0.84685,              0.0090595,              0.0090595,              0.0090595
                     21,                0.54538,                0.53179,                0.88765,                0.98142,                0.94596,                 0.9765,                0.86926,                0.51651,                 0.3459,                0.86539,                0.00901,                0.00901,                0.00901
                     22,                0.54106,                0.53225,                 0.8858,                0.98432,                  0.948,                0.97812,                0.88705,                 0.4627,                0.33129,                0.84789,              0.0089605,              0.0089605,              0.0089605
                     23,                0.54043,                0.52579,                0.88371,                0.98097,                0.95208,                0.97929,                0.88757,                 0.4625,                 0.3232,                0.84818,               0.008911,               0.008911,               0.008911
                     24,                0.53308,                0.51074,                 0.8848,                0.98353,                0.95254,                0.97896,                0.88562,                0.47227,                0.32251,                 0.8508,              0.0088615,              0.0088615,              0.0088615
                     25,                0.53371,                0.51579,                0.88295,                0.98283,                0.95043,                0.97783,                0.88674,                 0.4609,                0.31966,                0.84712,               0.008812,               0.008812,               0.008812
                     26,                0.52591,                0.51049,                 0.8811,                0.98516,                0.95328,                0.97968,                0.87584,                0.50484,                0.32157,                0.85891,              0.0087625,              0.0087625,              0.0087625
                     27,                 0.5254,                0.50193,                0.88053,                0.98395,                0.95321,                0.97869,                0.88882,                0.45153,                0.30991,                0.84467,               0.008713,               0.008713,               0.008713
                     28,                0.52309,                0.49511,                0.87866,                  0.987,                0.95336,                0.97972,                0.89107,                0.45824,                0.30821,                0.84638,              0.0086635,              0.0086635,              0.0086635
                     29,                0.51923,                0.48736,                0.87577,                0.98428,                0.95581,                0.98027,                0.89721,                0.44563,                0.29929,                0.84236,               0.008614,               0.008614,               0.008614
                     30,                0.51696,                0.48933,                0.87907,                0.98652,                 0.9546,                0.97912,                0.89409,                0.45512,                0.30165,                0.84536,              0.0085645,              0.0085645,              0.0085645
                     31,                0.51221,                 0.4784,                0.87707,                0.98528,                0.95821,                0.98019,                0.89983,                0.43956,                0.29674,                0.84095,               0.008515,               0.008515,               0.008515
                     32,                0.51335,                0.47521,                0.87613,                0.99087,                0.95541,                0.98084,                0.90314,                0.43397,                0.29169,                0.83721,              0.0084655,              0.0084655,              0.0084655
                     33,                0.50888,                0.47465,                0.87515,                0.99048,                0.95828,                0.98081,                0.89694,                0.45095,                0.29388,                0.84186,               0.008416,               0.008416,               0.008416
                     34,                0.50594,                 0.4668,                0.87311,                0.98936,                0.95927,                0.98041,                 0.8984,                0.44581,                0.28892,                0.84024,              0.0083665,              0.0083665,              0.0083665
                     35,                0.50806,                0.46711,                  0.874,                0.98972,                0.95988,                0.98142,                0.90272,                0.43074,                0.28292,                0.83717,               0.008317,               0.008317,               0.008317
                     36,                0.50442,                0.46634,                0.87379,                0.99065,                0.95848,                0.98095,                0.89893,                 0.4453,                0.28563,                0.84114,              0.0082675,              0.0082675,              0.0082675
                     37,                0.50402,                0.45805,                0.87238,                0.98951,                0.96255,                0.98174,                0.90461,                0.42926,                0.28051,                0.83664,               0.008218,               0.008218,               0.008218
                     38,                0.49876,                0.45555,                0.87078,                0.99029,                 0.9613,                0.98137,                0.88919,                0.47945,                0.28947,                0.84887,              0.0081685,              0.0081685,              0.0081685
