                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.57415,                 2.0014,                 0.8459,                0.96067,                0.95008,                 0.9849,                0.90192,                0.40593,                0.47972,                0.80249,              0.0033304,              0.0033304,              0.0033304
                      2,                0.48696,                0.64891,                0.82422,                0.98796,                0.98571,                0.99373,                0.94288,                0.32254,                0.33628,                0.78841,              0.0066472,              0.0066472,              0.0066472
                      3,                0.47486,                0.55664,                0.82257,                0.98548,                0.98048,                0.99196,                0.94648,                0.30828,                0.30969,                0.78652,              0.0099476,              0.0099476,              0.0099476
                      4,                0.42261,                0.46015,                0.81298,                0.98969,                0.98729,                0.99369,                0.96883,                 0.2549,                0.24345,                0.77722,              0.0099258,              0.0099258,              0.0099258
                      5,                0.37271,                0.37687,                0.80529,                  0.994,                0.99053,                0.99437,                0.97368,                0.24075,                0.20279,                0.77506,               0.009901,               0.009901,               0.009901
                      6,                0.34718,                0.32931,                0.80112,                0.99629,                0.99433,                0.99475,                0.98041,                0.21874,                 0.1712,                0.77267,              0.0098763,              0.0098763,              0.0098763
                      7,                0.33254,                0.30238,                0.79839,                0.99602,                0.99371,                 0.9947,                0.98356,                0.20382,                0.15587,                0.77018,              0.0098515,              0.0098515,              0.0098515
                      8,                0.31999,                0.28612,                 0.7965,                0.99731,                0.99572,                0.99486,                0.98557,                0.19721,                  0.142,                0.76937,              0.0098268,              0.0098268,              0.0098268
                      9,                0.31313,                0.27505,                0.79571,                0.99425,                 0.9915,                0.99407,                0.98643,                0.19024,                0.14417,                0.76822,               0.009802,               0.009802,               0.009802
                     10,                0.30461,                0.26561,                0.79488,                0.99705,                0.99496,                0.99484,                0.98801,                0.18596,                0.13149,                0.76745,              0.0097773,              0.0097773,              0.0097773
                     11,                0.29929,                0.25954,                0.79369,                0.99703,                0.99516,                0.99484,                0.98836,                0.18519,                 0.1291,                0.76682,              0.0097525,              0.0097525,              0.0097525
                     12,                0.29419,                0.25328,                0.79293,                0.99796,                0.99617,                0.99492,                0.98955,                0.18157,                0.12365,                0.76621,              0.0097278,              0.0097278,              0.0097278
                     13,                0.28966,                0.24793,                0.79185,                0.99808,                 0.9968,                0.99493,                0.98967,                 0.1806,                0.12112,                0.76588,               0.009703,               0.009703,               0.009703
                     14,                0.28539,                0.24351,                  0.791,                0.99789,                 0.9974,                0.99492,                0.99044,                 0.1777,                0.11829,                0.76538,              0.0096783,              0.0096783,              0.0096783
                     15,                0.28182,                0.24034,                0.79102,                0.99749,                0.99695,                0.99489,                0.99067,                0.17709,                0.11768,                0.76506,              0.0096535,              0.0096535,              0.0096535
