                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2522,                 5.3921,                 1.1127,                0.42703,                0.22664,                0.13812,                0.10801,                0.78364,                 2.3733,                  0.938,             7.0826e-05,             7.0826e-05,             7.0826e-05
                      2,                0.92806,                 3.7369,                0.94542,                0.30011,                0.40059,                  0.251,                0.19938,                0.77983,                 1.8266,                0.95831,             0.00012779,             0.00012779,             0.00012779
                      3,                 0.8421,                 3.0711,                0.92381,                0.33258,                0.47265,                0.34613,                0.28264,                0.70312,                 1.6548,                0.94156,             0.00017069,             0.00017069,             0.00017069
                      4,                0.78427,                 2.5797,                0.90974,                0.41981,                0.49046,                0.42382,                 0.3555,                0.62967,                 1.4458,                0.91736,             0.00014974,             0.00014974,             0.00014974
                      5,                0.74598,                 2.2095,                0.89328,                 0.4906,                0.55458,                0.51091,                0.42915,                0.64177,                 1.3231,                0.92047,             0.00012865,             0.00012865,             0.00012865
                      6,                0.71891,                 1.9141,                0.89291,                0.49306,                0.59636,                0.58582,                0.49536,                0.59847,                 1.2172,                0.91411,             0.00010757,             0.00010757,             0.00010757
                      7,                0.68715,                 1.6926,                0.88235,                0.59783,                0.64184,                0.64782,                0.55023,                0.59288,                 1.0642,                 0.9055,             8.6478e-05,             8.6478e-05,             8.6478e-05
                      8,                0.66499,                 1.5306,                 0.8742,                0.66269,                0.64198,                 0.6721,                0.58022,                0.55627,                 1.0222,                0.88966,             6.5391e-05,             6.5391e-05,             6.5391e-05
                      9,                0.65452,                 1.4241,                0.87207,                0.66378,                0.66997,                0.69581,                0.59663,                0.56721,                0.98544,                0.89437,             4.4304e-05,             4.4304e-05,             4.4304e-05
                     10,                0.62715,                 1.3402,                 0.8661,                0.69952,                0.68091,                 0.7221,                0.62647,                0.54561,                0.90937,                0.88965,             2.3217e-05,             2.3217e-05,             2.3217e-05
